worker_record_id,worker_experience_years,shift,equipment_usage,weather,working_hours,incident_status
CS0001,12.8,Evening,Excavator,Clear,13.1,No Incident
CS0002,18.5,Night,Manual,Rain,12.3,Incident
CS0003,8.8,Day,Manual,Clear,6.2,No Incident
CS0004,8.3,Night,Drill,Rain,10.0,No Incident
CS0005,24.1,Evening,Crane,Hot,13.7,No Incident
CS0006,22.6,Day,Excavator,Rain,13.6,No Incident
CS0007,24.3,Night,Manual,Clear,5.7,No Incident
CS0008,23.7,Night,Crane,Clear,8.4,Incident
CS0009,8.0,Evening,Excavator,Rain,12.7,No Incident
CS0010,0.4,Night,Crane,Rain,12.0,Incident
CS0011,16.8,Evening,Excavator,Hot,5.3,No Incident
CS0012,13.8,Day,Excavator,Clear,11.2,Incident
CS0013,6.5,Day,Drill,Hot,7.4,No Incident
CS0014,23.6,Day,Drill,Rain,4.5,No Incident
CS0015,22.1,Evening,Drill,Rain,13.1,No Incident
CS0016,20.3,Day,Crane,Rain,7.3,No Incident
CS0017,11.7,Night,Crane,Clear,6.1,No Incident
CS0018,14.5,Night,Manual,Hot,4.7,No Incident
CS0019,10.7,Evening,Crane,Hot,7.9,No Incident
CS0020,12.1,Day,Crane,Hot,9.0,No Incident
CS0021,1.9,Night,Excavator,Rain,12.0,Incident
CS0022,8.6,Evening,Drill,Clear,5.2,No Incident
CS0023,0.6,Night,Drill,Hot,6.3,No Incident
CS0024,23.3,Night,Manual,Clear,8.8,No Incident
CS0025,11.4,Night,Drill,Hot,13.8,No Incident
CS0026,8.7,Night,Excavator,Hot,6.3,No Incident
CS0027,24.8,Day,Excavator,Clear,9.3,No Incident
CS0028,24.1,Night,Crane,Hot,8.5,No Incident
CS0029,1.7,Evening,Crane,Clear,8.7,No Incident
CS0030,6.5,,Manual,Rain,10.7,No Incident
CS0031,13.7,Night,Excavator,Rain,4.1,No Incident
CS0032,18.4,Night,Drill,Rain,4.8,No Incident
CS0033,18.3,Night,Drill,Rain,9.8,No Incident
CS0034,11.5,Evening,Excavator,Hot,7.9,No Incident
CS0035,7.0,Night,Excavator,Hot,4.7,No Incident
CS0036,14.1,Evening,Crane,Clear,4.9,No Incident
CS0037,23.3,Night,Crane,Rain,5.8,Incident
CS0038,17.3,Evening,Excavator,Hot,5.8,No Incident
CS0039,5.0,Day,Drill,Hot,11.9,No Incident
CS0040,18.2,Evening,Excavator,Hot,10.9,Incident
CS0041,11.5,Day,Drill,Rain,12.3,Incident
CS0042,10.4,Night,Manual,Hot,10.5,No Incident
CS0043,5.3,Evening,Excavator,Hot,6.9,No Incident
CS0044,3.0,Day,Excavator,Clear,12.6,No Incident
CS0045,20.4,Evening,Crane,Rain,5.3,No Incident
CS0046,14.4,Day,Excavator,Rain,12.7,Incident
CS0047,7.5,Night,Crane,Clear,12.3,No Incident
CS0048,18.1,Evening,Manual,Clear,5.9,No Incident
CS0049,1.8,Day,Manual,Rain,11.2,Incident
